stamp,x,y,yaw,v,w
1786167427.736651,0.4069338446188152,-0.0015104514183880663,0.11313542678793972,0.4178129310109938,0.5096881336862444
1786167427.7566555,0.4149836950640483,-0.00044418064727556926,0.12322643835560138,0.4379372665448869,0.5044368057003701
1786167427.776786,0.42372520718257695,0.0008024072552556927,0.13166815770686865,0.4731608162677296,0.41934691287748593
1786167427.796866,0.432810342666271,0.0021701469537935424,0.1377157745658787,0.4935042038084623,0.30117837097889383
1786167427.8165746,0.4416966346583931,0.0035603909566558284,0.14243378707400778,0.49218298725017545,0.23938811011922653
1786167427.8366537,0.451154788861936,0.005080454055086307,0.14550960611694963,0.5144933216452767,0.1531848312128907
1786167427.8566618,0.46113252226277673,0.0067084352329458245,0.14693563605289087,0.5448720128481019,0.07127267712628639
1786167427.8767462,0.47155277135327534,0.008413770101061892,0.14648597794944285,0.5669155458937649,-0.022388447078873965
1786167427.8966987,0.4820315070517607,0.010115592250037475,0.14476449720135814,0.5737630185995651,-0.08627879584182406
1786167427.9174466,0.49278460624742093,0.01183544243892996,0.14211181661157007,0.5660188816342928,-0.12785296770360027
1786167427.9369063,0.5030187553795608,0.013441562999671083,0.13941712341594048,0.574125155092929,-0.13847540369029643
1786167427.9566443,0.5136923140062626,0.015083909741974112,0.13664302358254038,0.5900900276384722,-0.14054643878422302
1786167427.9765902,0.5248548570602208,0.01677053497647939,0.13447864700940204,0.6104662922357819,-0.10851257268459318
1786167427.9970062,0.5367336443126602,0.01854108094940757,0.13302627717840926,0.6345066421070167,-0.07113873003482853
1786167428.016838,0.5485674298828968,0.020286039803506493,0.1316800283220571,0.6505866994934573,-0.06788301370737664
1786167428.0368373,0.5606723589873219,0.022053016990204753,0.13042962699464367,0.6597988728329007,-0.0625223619705461
1786167428.0568821,0.5729328935472634,0.02381952004110561,0.12834411913589017,0.6666029441502574,-0.10404231931395487
1786167428.0766528,0.5850346045875373,0.025526201209793473,0.12498137686476737,0.6668397893059267,-0.17008783173435046
1786167428.097227,0.5977023004810063,0.027262841305868174,0.1212849555780455,0.6704401198981255,-0.1796617948731988
1786167428.1166837,0.6097847650772955,0.028873337448892897,0.11816281533624078,0.6758991701370287,-0.16046669164118918
1786167428.1370735,0.6224788784539257,0.030527686915555522,0.11597707142756927,0.6773849828903713,-0.10719793289503764
1786167428.1566489,0.6346604439036908,0.032088591136824385,0.1142748048318523,0.6769126945305379,-0.08695966861314239
1786167428.1729977,0.6448505140477698,0.03337616146587116,0.11281834163983981,0.6778660998663881,-0.08908664457957727
1786167428.1972888,0.660063776772263,0.035267404829682075,0.11065461626431947,0.6809784951601265,-0.08907504610583114
1786167428.2170234,0.6724045663617735,0.03677500688979694,0.1090017791191662,0.6797844109601826,-0.08375317373134855
1786167428.236977,0.6849687355447169,0.03828239869844384,0.1067570173349157,0.6843319255576614,-0.11249836699719248
1786167428.257012,0.6975342989623466,0.03975759691363088,0.10439620984255381,0.681457804995641,-0.11783539971015149
1786167428.277313,0.7102574734413902,0.04122007715587179,0.10237161305426305,0.6807853346964833,-0.09972841028685045
1786167428.297173,0.7227106702030694,0.042621268455432806,0.10005251903259134,0.6809751215654855,-0.11677193401449946
1786167428.3168008,0.7350221615504158,0.043966679920402624,0.09654783124517582,0.680979537068098,-0.17855725484977908
1786167428.3371856,0.7477460035379917,0.045303364861757955,0.09240825710155823,0.6773872078578036,-0.20307172384645422
1786167428.3578868,0.7607130609057083,0.046611792748772016,0.0890425847960722,0.6795338453042777,-0.16258367574129257
1786167428.377323,0.7727909859976383,0.04779192452691089,0.08664825496494974,0.6739511502245644,-0.12318969575932934
1786167428.3971543,0.7852886257025612,0.048978891305511994,0.08412141772499249,0.6833155465346656,-0.1274158566813945
1786167428.4168124,0.797668161546154,0.050118359467942616,0.0813653251183556,0.6826651873724977,-0.14020145350491803
1786167428.4368775,0.8103114621939745,0.051239127226606465,0.07797507564135595,0.6828887184511192,-0.16896276027968
1786167428.4568303,0.8229214780571624,0.05231483448565574,0.07532660787278063,0.6847536887663505,-0.13273681956321742
1786167428.476755,0.8355772326978266,0.05337368227988028,0.07505932609159555,0.6881261883698702,-0.01341463496412255
1786167428.4968395,0.8483511901921736,0.05446665449944624,0.07891929046313914,0.68911554292043,0.1921850880619043
1786167428.5168016,0.8608309800927212,0.05561892388976801,0.08760325002953666,0.6777291871770078,0.43502294773704314
1786167428.5368109,0.8730843175049623,0.05687308352450321,0.09741514229471311,0.6644200344450866,0.4903671012856555
1786167428.5572922,0.8854419625539988,0.05827942653963901,0.10867963892146067,0.6553333951595481,0.5499880479547619
1786167428.5768564,0.8970358749587083,0.05973293942299984,0.11864693581615678,0.6444299966312786,0.509467367406121
1786167428.5967689,0.9089640479435085,0.06134990418951372,0.12734984927757637,0.6521651728855209,0.4370582112200341
1786167428.6167495,0.9209602224271586,0.0630817564519248,0.13476307602429735,0.6543468407277626,0.3710199462642894
1786167428.6368732,0.9330701726768608,0.06492238661074633,0.14128630763080885,0.6565030880244304,0.3241563464263684
1786167428.6568482,0.9451234644704781,0.06683048773723878,0.14629326545703725,0.6588599331170966,0.2506618832238936
1786167428.6768947,0.9572404866862928,0.06879906978850894,0.14890517260363545,0.660363712842261,0.1302926058515652
1786167428.6971452,0.9692739632329318,0.07077330083732669,0.14927775842433164,0.6493486651345514,0.01839879202337378
1786167428.7168076,0.9809162653367942,0.07267626151568744,0.1479008610442698,0.6469770955459774,-0.07002699392243074
1786167428.7369943,0.9929632135579787,0.0746228232623376,0.14599302530129457,0.6519040783278477,-0.09450971533978171
1786167428.7571328,1.0046409157069722,0.07648336928241298,0.14391671745491472,0.6332344050476593,-0.10310140416141762
1786167428.776995,1.0158507013450222,0.07824493480759034,0.1421426936073697,0.6161328642449082,-0.08931669611385996
1786167428.7970388,1.0270854660980115,0.07998615117113049,0.1400958902155695,0.6117291629792739,-0.10211627992674015
1786167428.817242,1.0383557956102825,0.08170433393934319,0.13764519960828225,0.608621654132405,-0.1213026200395042
1786167428.8368118,1.0494088784773492,0.08335473631136779,0.13450051473833086,0.615950101036115,-0.16069009440287246
1786167428.856955,1.0608232383323624,0.08501702686841468,0.13104924174125868,0.6176837610955817,-0.1713362782050704
